               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.025616,            0.012048,          0.00072452,             0.98512,             0.98073,             0.98914,             0.62674,            0.022299,           0.0096357,           0.0054028,           0.0020327,           0.0020327,           0.0020327
                  80,            0.025005,            0.012207,          0.00065183,             0.98158,             0.88007,              0.8903,             0.56913,            0.030118,            0.012946,            0.009894,           0.0019443,           0.0019443,           0.0019443
                  81,            0.025705,            0.013502,          0.00053633,              0.9835,             0.98072,             0.98857,             0.65065,            0.021926,             0.00953,           0.0054785,           0.0018594,           0.0018594,           0.0018594
                  82,            0.024857,            0.013116,          0.00059017,               0.941,             0.78949,             0.79501,             0.53679,             0.04383,              0.0153,            0.039702,           0.0017781,           0.0017781,           0.0017781
                  83,            0.025298,            0.013284,           0.0006045,             0.98304,              0.9807,             0.98851,             0.62823,            0.022672,           0.0097105,           0.0054705,           0.0017005,           0.0017005,           0.0017005
                  84,            0.025659,            0.015998,          0.00066187,             0.98256,             0.98071,             0.98861,             0.64338,            0.022617,           0.0097308,           0.0054717,           0.0016267,           0.0016267,           0.0016267
                  85,             0.02591,            0.014479,          0.00069452,             0.98195,             0.98073,             0.98934,             0.61498,            0.021943,           0.0096421,           0.0054437,           0.0015566,           0.0015566,           0.0015566
                  86,            0.024417,            0.012011,          0.00066632,             0.98183,             0.98068,             0.98887,             0.62711,             0.02195,           0.0096675,           0.0054817,           0.0014905,           0.0014905,           0.0014905
                  87,            0.025413,            0.012889,          0.00076159,             0.98214,             0.98072,              0.9895,             0.61469,            0.022329,           0.0097256,           0.0054768,           0.0014283,           0.0014283,           0.0014283
                  88,            0.026195,            0.012347,          0.00046105,             0.98288,             0.98074,             0.98851,              0.6312,             0.02245,           0.0097771,           0.0055083,           0.0013701,           0.0013701,           0.0013701
                  89,            0.025106,            0.013211,          0.00046418,             0.98173,             0.98073,             0.98741,             0.60193,             0.02246,           0.0098469,           0.0054738,            0.001316,            0.001316,            0.001316
                  90,            0.024625,            0.011594,           0.0013151,             0.97921,             0.98075,             0.98783,             0.59428,            0.022863,           0.0097721,           0.0054487,            0.001266,            0.001266,            0.001266
                  91,            0.024191,            0.011394,          0.00051656,             0.97874,             0.98074,             0.98863,             0.63247,            0.022356,           0.0096253,           0.0054131,           0.0012202,           0.0012202,           0.0012202
                  92,            0.025386,            0.012922,          0.00045639,             0.97253,              0.9853,             0.98789,             0.59817,            0.022833,           0.0097432,           0.0053921,           0.0011787,           0.0011787,           0.0011787
                  93,            0.025808,            0.013754,          0.00072751,             0.97681,             0.98073,             0.98794,             0.62832,            0.022772,           0.0097279,           0.0053758,           0.0011414,           0.0011414,           0.0011414
                  94,            0.024745,            0.013405,          0.00066631,             0.98112,             0.98067,             0.98902,             0.63202,            0.027286,           0.0095238,             0.11608,           0.0011084,           0.0011084,           0.0011084
                  95,            0.024989,            0.012022,          0.00067969,             0.98032,             0.98072,             0.98877,             0.63858,            0.022009,           0.0095437,           0.0054243,           0.0010797,           0.0010797,           0.0010797
                  96,            0.024369,            0.010849,          0.00048718,             0.98128,             0.98074,              0.9884,             0.62742,            0.022122,           0.0095198,            0.005526,           0.0010554,           0.0010554,           0.0010554
                  97,            0.024312,            0.010915,          0.00040335,             0.98188,             0.98073,             0.98897,             0.64518,            0.022107,           0.0095337,           0.0055348,           0.0010355,           0.0010355,           0.0010355
                  98,              0.0242,            0.012559,           0.0004005,             0.98243,             0.98073,             0.98903,              0.6357,            0.022144,           0.0094315,            0.005535,             0.00102,             0.00102,             0.00102
                  99,            0.023543,            0.010783,          0.00053978,             0.98177,             0.98069,             0.98861,             0.62596,             0.02216,           0.0094503,           0.0055528,           0.0010089,           0.0010089,           0.0010089
